Feature,DoF,P Value,Chi Square,Is Significant
a1,1,0.000573,11.862277,1
a8,1,0.001893,9.650755,0
b2,1,0.033491,4.520491,0
b3,1,0.033491,4.520491,0
s8,1,0.042818,4.10258,0
a2,1,0.043674,4.069127,0
v3,1,0.076296,3.142082,0
d2,1,0.08577,2.952024,0
s7,1,0.091379,2.849909,0
p5,1,0.10857,2.574913,0
u1,1,0.123144,2.376869,0
a4,1,0.203413,1.617702,0
s3,1,0.215912,1.531335,0
p4,1,0.263376,1.250924,0
d3,1,0.284567,1.145148,0
d1,1,0.308482,1.037163,0
p7,1,0.37097,0.800413,0
s2,1,0.39979,0.708958,0
b5,1,0.428321,0.627373,0
v2,1,0.449079,0.572976,0
n4,1,0.467733,0.527326,0
d5,1,0.594824,0.282874,0
p11,1,0.617745,0.249049,0
d4,1,0.628178,0.23454,0
r1,1,0.629112,0.233267,0
p12,1,0.642996,0.214845,0
p3,1,0.700684,0.147761,0
p2,1,0.703536,0.14482,0
a6,1,0.72639,0.122452,0
p10,1,0.732725,0.116624,0
s5,1,0.765052,0.089314,0
p6,1,0.765821,0.088712,0
b4,1,0.83809,0.041753,0
p8,1,0.965287,0.001894,0
a7,1,0.971739,0.001255,0
