Feature,DoF,P Value,Chi Square,Is Significant
p12,1,3.6e-05,17.096707,1
p5,1,0.001773,9.770793,1
a2,1,0.004253,8.172357,1
p3,1,0.014371,5.991981,0
a4,1,0.03626,4.384823,0
p4,1,0.057246,3.615441,0
p8,1,0.068111,3.327965,0
s7,1,0.084298,2.980029,0
u1,1,0.089972,2.874879,0
d2,1,0.093415,2.814525,0
v3,1,0.116518,2.463516,0
v1,1,0.165483,1.923393,0
a6,1,0.184038,1.76471,0
a1,1,0.287345,1.13202,0
a5,1,0.288745,1.125463,0
n4,1,0.288745,1.125463,0
p6,1,0.304638,1.053782,0
s6,1,0.326349,0.963333,0
s1,1,0.366336,0.816057,0
b4,1,0.477816,0.503844,0
s4,1,0.563493,0.333692,0
p1,1,0.580508,0.305414,0
r1,1,0.624369,0.239774,0
a8,1,0.654553,0.200208,0
v2,1,0.6884,0.160823,0
d5,1,0.718804,0.129642,0
b5,1,0.78475,0.074602,0
p2,1,0.822414,0.050374,0
s5,1,0.925627,0.008714,0
p7,1,0.930699,0.007563,0
d3,1,0.936051,0.006437,0
a7,1,0.940253,0.005618,0
