Feature,DoF,P Value,Chi Square,Is Significant
p9,1,0.0,56.274761,1
p7,1,2e-06,22.778023,1
p2,1,2e-06,22.303949,1
n4,1,3e-06,21.83908,1
n5,1,1.8e-05,18.343441,1
s8,1,5.9e-05,16.135255,1
r4,1,6.1e-05,16.084125,1
r3,1,8e-05,15.565721,1
n6,1,0.000156,14.295025,1
v4,1,0.00028,13.198729,1
p4,1,0.001085,10.677107,1
u3,1,0.001188,10.509548,1
p3,1,0.001286,10.362158,1
p6,1,0.002252,9.331806,1
s6,1,0.002861,8.894146,1
p8,1,0.003205,8.687022,1
s7,1,0.013797,6.063919,0
s5,1,0.016676,5.730178,0
u2,1,0.023453,5.134644,0
s1,1,0.026216,4.941714,0
r1,1,0.03865,4.276182,0
n3,1,0.04201,4.1348,0
v1,1,0.042446,4.117341,0
d4,1,0.043543,4.07418,0
s2,1,0.046049,3.979803,0
a5,1,0.053541,3.726956,0
d5,1,0.064584,3.415572,0
a3,1,0.080898,3.046765,0
p5,1,0.099715,2.710103,0
n2,1,0.107993,2.583354,0
v2,1,0.108734,2.572526,0
v3,1,0.196422,1.66878,0
d1,1,0.200559,1.638302,0
a4,1,0.224144,1.477641,0
r2,1,0.286786,1.134646,0
b4,1,0.308055,1.038996,0
a8,1,0.334679,0.930707,0
s3,1,0.372781,0.794373,0
n1,1,0.486034,0.485294,0
p1,1,0.622748,0.242024,0
a7,1,0.646341,0.210545,0
b5,1,0.666583,0.185625,0
b3,1,0.675988,0.174678,0
b2,1,0.675988,0.174678,0
d3,1,0.676332,0.174284,0
d2,1,0.677048,0.173468,0
a1,1,0.728024,0.120933,0
a6,1,0.860821,0.03074,0
s4,1,0.957881,0.002789,0
a2,1,0.979192,0.00068,0
u1,1,0.997801,8e-06,0
