Feature,DoF,P Value,Chi Square,Is Significant
r3,1,0.000357,12.746219,1
r4,1,0.000528,12.014999,1
p2,1,0.000571,11.868669,1
n6,1,0.004239,8.178368,1
p9,1,0.013265,6.133376,0
r1,1,0.021236,5.307322,0
p3,1,0.021278,5.303857,0
r2,1,0.036589,4.369443,0
v4,1,0.039335,4.246345,0
n1,1,0.040994,4.176251,0
n2,1,0.057572,3.605983,0
a6,1,0.060432,3.525494,0
v2,1,0.084866,2.969165,0
a1,1,0.10244,2.667145,0
p8,1,0.143029,2.14506,0
s1,1,0.184673,1.759612,0
n3,1,0.194421,1.683791,0
a7,1,0.205942,1.599726,0
b4,1,0.244379,1.355154,0
s8,1,0.251174,1.31676,0
s5,1,0.302273,1.064141,0
d3,1,0.321079,0.984545,0
b5,1,0.322155,0.980176,0
a2,1,0.323234,0.975815,0
a3,1,0.329323,0.951557,0
d2,1,0.329478,0.950949,0
p5,1,0.332364,0.939665,0
u4,1,0.339883,0.910874,0
p1,1,0.35849,0.843176,0
u1,1,0.375063,0.786823,0
p7,1,0.375076,0.786777,0
p6,1,0.424897,0.636731,0
s4,1,0.436764,0.604768,0
v1,1,0.459648,0.546752,0
u3,1,0.491731,0.472737,0
d1,1,0.504306,0.445864,0
p12,1,0.514769,0.424362,0
d4,1,0.521174,0.41157,0
a8,1,0.572548,0.318437,0
s7,1,0.692413,0.156485,0
s3,1,0.708535,0.139745,0
a5,1,0.757802,0.095091,0
p4,1,0.774448,0.082117,0
v3,1,0.83943,0.041056,0
s6,1,0.854229,0.033755,0
u2,1,0.854277,0.033733,0
d5,1,0.871783,0.026048,0
a4,1,0.899131,0.016068,0
b3,1,0.900252,0.015711,0
b2,1,0.900252,0.015711,0
n4,1,0.90199,0.015165,0
n5,1,0.914266,0.01159,0
s2,1,0.918845,0.010381,0
