Feature,DoF,P Value,Chi Square,Is Significant
p9,1,0.001019,10.791895,1
s2,1,0.020043,5.408166,0
s6,1,0.031804,4.609055,0
p3,1,0.036154,4.389832,0
s5,1,0.045756,3.990541,0
s8,1,0.067579,3.340872,0
r3,1,0.100455,2.698306,0
s4,1,0.129128,2.302958,0
u3,1,0.130367,2.28813,0
s7,1,0.135448,2.228923,0
a6,1,0.226263,1.464199,0
d5,1,0.231274,1.433012,0
p5,1,0.23236,1.426358,0
p6,1,0.245684,1.34768,0
p4,1,0.314078,1.013447,0
r4,1,0.331672,0.942358,0
n1,1,0.340692,0.907825,0
b5,1,0.368877,0.807444,0
v3,1,0.396841,0.717876,0
p7,1,0.400071,0.708114,0
n5,1,0.418075,0.655721,0
b4,1,0.418454,0.654652,0
a2,1,0.432238,0.616803,0
n6,1,0.491774,0.472643,0
v1,1,0.497095,0.461134,0
p2,1,0.513058,0.427825,0
a1,1,0.546133,0.364291,0
a5,1,0.554421,0.349456,0
p1,1,0.623295,0.241264,0
d4,1,0.640077,0.218642,0
a8,1,0.640165,0.218527,0
d1,1,0.668424,0.183451,0
p12,1,0.674831,0.176002,0
d2,1,0.678962,0.171296,0
s1,1,0.700353,0.148105,0
u1,1,0.703689,0.144662,0
n2,1,0.724521,0.124202,0
s3,1,0.729844,0.119255,0
r2,1,0.729978,0.119132,0
u2,1,0.730405,0.11874,0
r1,1,0.73096,0.118232,0
n4,1,0.731951,0.117328,0
p8,1,0.750881,0.100793,0
a4,1,0.765027,0.089333,0
d3,1,0.80455,0.061238,0
b2,1,0.826966,0.047783,0
b3,1,0.826966,0.047783,0
n3,1,0.897214,0.016688,0
v4,1,0.933505,0.006961,0
a3,1,0.949051,0.004083,0
v2,1,0.963004,0.002151,0
a7,1,0.983073,0.00045,0
