Feature,DoF,P Value,Chi Square,Is Significant
u1,1,0.028971,4.769338,0
v4,1,0.128942,2.305192,0
n1,1,0.243926,1.357759,0
s2,1,0.406222,0.68983,0
a4,1,0.45835,0.54992,0
s3,1,0.476164,0.507637,0
s7,1,0.518369,0.417137,0
v1,1,0.53088,0.392707,0
b1,1,0.549539,0.358143,0
v2,1,0.588284,0.293032,0
s8,1,0.665888,0.186449,0
a2,1,0.673839,0.177144,0
n6,1,0.686924,0.162436,0
n2,1,0.71077,0.13751,0
b4,1,0.72693,0.12195,0
a7,1,0.816193,0.054031,0
a6,1,0.833134,0.044388,0
n3,1,0.860449,0.030907,0
d3,1,0.901041,0.015462,0
b2,1,0.913145,0.011897,0
b3,1,0.913145,0.011897,0
v3,1,0.914132,0.011627,0
a3,1,0.918567,0.010453,0
s6,1,0.959027,0.002639,0
n5,1,0.960508,0.002452,0
a5,1,0.992103,9.8e-05,0
